Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Syndinium turbo;Paracalanus parvus;Mediterranean Sea;Catalunya;Spain
Syndinium ex Corycaeus;Corycaeus sp.;Mediterranean Sea;Catalunya;Spain
Syndinium turbo;Paracalanus parvus;Mediterranean Sea;Tyrrhenian Sea;Italy
Syndinium turbo;Paracalanus parvus;Mediterranean Sea;Saronic Gulf;Greece
Syndinium turbo;Paracalanus parvus;Mediterranean Sea;;France
Syndinium turbo;Paracalanus indicus;;Melbourne;
Syndinium turbo;Clausocalanus arcuicornis;Mediterranean Sea;;France
Syndinium turbo;Onchocorycaeus giesbrechti;Mediterranean Sea;Catalunya;Spain
Syndinium turbo;Clausocalanus arcuicornis;Mediterranean Sea;Catalunya;Spain
Syndinium turbo;Euterpina acutifrons;Mediterranean Sea;Catalunya;Spain
Syndinium turbo;Oithona similis;Mediterranean Sea;Catalunya;Spain
Syndinium gammari;Gammarus locusta;Mediterranean Sea;;France
Hematodinium perezi (clade A);Liocarcinus depurator;The Channel;;England
Hematodinium sp (clade B);Chionoecetes bairdi;Bering Sea;;Canada
Hematodinium sp (clade B);Chionoecetes opilio;Bering Sea;;Canada
Hematodinium perezi (clade A);Portunus trituberculatus;Yellow Sea;Shandong Peninsula;China
Hematodinium perezi (clade A);Portunus trituberculatus;Yellow Sea;Shandong Peninsula;China
Hematodinium perezi (clade A);Libinia emarginata;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Caprella geometrica;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Caprella geometrica;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Libinia dubia;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Libinia dubia;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Eurypanopeus depressus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Eurypanopeus depressus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Panopeus herbstii;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Pagurus pollicaris;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Virginia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Georgia;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Florida;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Florida;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Florida;
